region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30
lt_municipality,lt,telšių,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
lt_municipality,lt,trakų,,13,13,13,13,15,14,14,14,14,14,14,15,15,15,15,15,15,15,16,17,17,17,17,18,18,18,25,23,23,24,26,26,27,27,28,28,30,30,30
lt_municipality,lt,ukmergės,,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92
lt_municipality,lt,utenos,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
lt_municipality,lt,varėnos,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lt_municipality,lt,vilkaviškio,,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
lt_municipality,lt,vilniaus,,296,296,525,302,534,542,544,547,305,306,556,307,562,308,308,567,571,577,315,588,317,317,318,318,318,622,320,644,654,671,321,321,322,741,325,764,787,795,328
lt_municipality,lt,visagino,,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12
lt_municipality,lt,zarasų,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5
lt_municipality,lt,šakių,,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,11,11,11,11,12
lt_municipality,lt,šalčininkų,,16,16,16,17,17,18,18,20,20,20,22,23,23,23,25,25,26,26,26,26,26,27,27,27,27,27,28,28,28,28,28,28,28,29,29,30,30,30,30
lt_municipality,lt,šiaulių,,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
lt_municipality,lt,šilalės,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
lt_municipality,lt,širvintų,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
lt_municipality,lt,švenčionių,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,16,17,18,19,23,31
