region_schema,region_parent,region_child,agerange,2020-03-13,2020-03-14,2020-03-15,2020-03-17,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
admin_1,co,co-boy,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,6,7,8,,,,13,,,,,,14,,,,15,,,,,,21,22,,,23,,,27,28,30,39,44,,45,50,52,55,57,58,62,67,72,75,82,97,,110,111,116,130,133,135,140,146,,147,157,160,168,182,186,,187,189,192,195,199,200,,202,205,211,220,228,237,241,245,250,255,264,268,271,282,290,298,302,310,319,320,325,334,337,347,358,362,364,365,374,377,388,400,412,424,436,447,464,485,502,524,537,551,566,581,593,610,634,672,702,712,766,791,820,869,940,1038,1085,1169,1230,1331,1414,1468,1542,1645
admin_1,co,co-cal,,,,,,,,,,,,,1,2,4,5,6,9,10,,,11,12,,,13,,14,,15,,,,17,,,18,,20,,26,28,,30,32,,35,,,36,37,,42,46,47,49,51,53,61,62,63,65,69,71,76,77,87,,88,91,93,96,99,100,101,105,106,107,109,,113,,116,123,,124,,128,129,130,,137,,138,140,146,,147,153,154,,165,169,173,180,185,,186,188,194,195,209,213,214,226,229,234,239,,243,244,247,250,251,254,258,259,,260,261,264,268,272,278,279,285,288,298,308,313,325,331,337,343,398,411,422,434,448,466,478,516,574,629,720,801,868,922,1014,1049,1079,1118,1163,1251,1325
admin_1,co,co-caq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,,6,,7,,,,,,8,,,16,,18,19,,20,,,21,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,23,,24,,,,,27,29,,34,38,40,42,47,53,55,58,72,85,97,118,129,157,201,235,250,256,361,397,469,495,543,694,758,855,953,1004,1151,1304,1505,1703,1773,1995,2241,2480,2715,2963,3081,3220
admin_1,co,co-cas,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,5,,,,,6,,,,,,,,,,,,,8,9,10,12,,,13,,14,17,,,,,,18,19,21,,22,,,23,,24,25,,26,,,29,,32,33,,,,,34,,,,,,35,,,36,,,,,41,47,48,,49,50,52,53,54,55,,,,58,60,,62,63,67,,75,77,,83,95,97,,,99,109,111,112,113,114,117,121,124,128,138,149,153,158,165,176,182,189,198,203,212,226,243,269,289,302,327,350,387,424,472,499,518,536
admin_1,co,co-cau,,,,,,,,,,,,,,,2,3,,,4,,,,,,,,5,7,,,,,,9,,,10,,,11,,,12,13,,,,14,,,15,,17,21,22,24,25,,27,,,,28,30,,32,37,38,42,43,,,44,48,,,,50,51,53,55,59,61,66,67,,73,74,80,,83,85,86,89,92,94,101,107,108,112,115,124,134,137,142,148,157,159,170,176,189,191,194,199,205,212,231,239,245,256,263,284,307,316,346,363,383,407,425,450,465,525,546,581,595,679,725,770,810,842,891,927,963,1046,1091,1152,1206,1233,1315,1387,1423,1472,1537,1645,1727,1813,1924,1983,2096,2184,2273,2368,2467,2606,2714
admin_1,co,co-ces,,,,,,,,,,,,1,,,,,,,,,2,4,5,,8,9,14,15,16,17,25,26,27,,28,,29,,,,,,30,,31,37,38,,,39,,40,42,43,45,46,47,50,,,53,,54,56,,,,,,57,,,59,,,,61,,62,63,67,71,72,73,74,78,79,85,99,113,122,162,166,169,181,196,204,208,213,245,278,287,341,361,383,420,435,454,510,534,560,589,613,633,692,727,745,765,852,870,917,964,992,1024,1049,1067,1122,1148,1166,1186,1200,1237,1262,1303,1318,1372,1443,1494,1535,1573,1620,1665,1733,1764,1825,1889,1943,2000,2059,2147,2274,2326,2466,2612,2746,2871,3093,3291,3507,3651,3880,4049,4338,4536,4824
admin_1,co,co-cho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,4,,,,,,,,,,,,9,,13,,,14,,17,,20,21,25,27,,28,,35,39,45,47,49,,53,71,81,97,101,107,129,137,141,149,167,176,177,187,192,203,215,244,257,276,311,335,375,400,430,474,488,544,585,614,637,651,686,711,751,797,847,891,1016,1058,1086,1143,1183,1218,1258,1323,1393,1437,1487,1516,1528,1588,1634,1676,1768,1834,1895,1974,2026,2134,2190,2209,2261,2329,2392,2420,2439,2476,2530,2610,2633,2644,2668,2700,2757,2819,2857,2867,2916,2997,3044,3089,3112,3132,3146
admin_1,co,co-cor,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,3,,4,,,,,5,,,,6,8,,,,,10,,,11,,12,,,13,,,14,,,,,15,17,18,20,,23,,25,26,,27,31,37,42,49,52,,57,59,61,65,67,76,81,82,,92,96,98,105,108,116,119,122,129,136,144,159,167,169,173,188,199,232,248,266,277,284,289,299,308,314,321,348,362,366,381,393,404,423,439,462,488,518,557,602,679,720,749,776,853,883,1022,1112,1285,1418,1580,1704,1814,2022,2156,2225,2505,2630,3053,3239,3524,3929,4295,4640,5074,5413,5775,6189,6516,7081,7458,7834,9014,9513,10385,10962,11281,12140
admin_1,co,co-cun,,,,,,,,,,,,1,,4,9,,12,13,,14,15,16,17,18,,21,,25,32,37,39,42,45,50,54,59,64,68,71,78,84,90,93,96,99,105,114,,119,120,124,127,144,147,150,154,159,162,168,173,177,179,185,189,,193,,194,196,199,202,213,225,233,235,241,249,255,291,301,321,344,361,379,412,439,462,479,518,539,581,605,627,659,709,771,840,914,985,1033,1078,1128,1176,1228,1269,1310,1375,1422,1503,1551,1594,1638,1680,1729,1816,1858,1942,2000,2066,2157,2203,2260,2341,2439,2527,2615,2698,2839,2915,2965,3006,3135,3252,3398,3523,3730,3924,4128,4296,4493,4653,4859,5187,5381,5619,5769,5955,6197,6521,6855,7028,7216,7514,7873,8300,8835,9346,9594,10139,10604,11269,11777,12255,12736,13400
admin_1,co,co-dc,,1,2,,,,3,5,7,11,14,,21,31,39,48,58,63,78,93,109,115,120,128,133,138,147,158,174,233,280,317,387,423,435,453,470,508,531,581,627,660,705,740,790,830,889,922,995,1067,1121,1207,1345,1446,1535,1587,1676,1774,1867,1920,2019,2068,2148,2224,2286,2360,2416,2503,2603,2680,2742,2878,2978,3095,3224,3314,3404,3480,3942,4050,4422,4764,4945,5215,5370,5644,5887,6085,6514,6723,6968,7182,7359,7474,7646,7929,8270,8674,9176,9574,10000,10351,10694,11245,11631,12028,12498,12908,13473,13873,14146,14489,14908,15281,16089,16511,16974,17559,18163,18716,19220,19880,20500,21229,22293,23352,24487,25275,26120,26755,27529,29064,31451,32998,34614,37349,40104,42181,44147,46440,49264,51848,54183,55860,57347,58464,60103,61622,63153,65550,70315,75620,80869,84001,87414,91994,96928,101496,106323,109266,111866,115184,122019,125599,128821
admin_1,co,co-gua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,9,,,,,11,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,15
admin_1,co,co-guv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,4,,,,,8,12,13,15,,,,,,,16,,19,,24,35,37,38,39,,,,41,,,,,47,,,,50,,,,51,54,59,,62,63,64,75,77,,79,82,83,84,88,97,103,126,127,134,157,160,167,174,180,187
admin_1,co,co-hui,,,,,,,,,,,3,4,,,5,,7,,9,10,11,12,,13,14,15,18,19,20,21,23,26,27,,28,32,,35,,,39,41,44,48,50,52,56,57,,58,60,66,68,71,76,77,83,84,88,90,95,99,105,114,115,119,134,136,142,152,157,,159,166,171,176,182,183,194,195,200,205,209,217,,219,222,228,231,235,,236,237,238,,,239,240,241,,243,244,246,256,262,263,267,271,282,283,285,288,290,294,,302,307,314,320,326,347,350,353,354,357,362,365,370,,371,374,375,376,383,391,398,416,420,428,431,447,459,480,517,532,545,560,581,617,657,672,692,729,772,864,950,1055,1129,1242,1425,1519,1658,1805,1888,2055
admin_1,co,co-lag,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,7,,,,,9,,10,11,,,14,16,17,24,26,,,27,28,31,34,,35,39,40,41,45,48,49,50,53,,,54,55,,,,57,,58,59,61,,62,67,101,105,110,116,124,127,132,137,142,146,156,166,178,187,198,215,232,245,269,282,299,309,322,370,403,461,495,512,534,608,630,685,760,885,934,1001,1085,1103,1149,1236,1272,1350,1421,1494,1541,1589,1644,1691,1734,1793,1914,1974,2033,2123,2213,2270,2347,2500,2657,2794,2911,2974,3149
admin_1,co,co-mag,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,4,,,5,,,,,,,,,,,6,,,,,,7,16,,20,21,,24,30,35,37,41,42,,,44,51,55,57,60,63,66,68,70,74,76,78,79,93,,99,107,116,137,150,156,160,165,184,189,200,206,,207,216,232,235,242,250,253,266,274,291,299,311,324,346,360,369,377,381,392,405,413,431,439,470,494,507,525,537,560,584,602,634,673,699,733,791,808,824,860,878,917,959,1028,1080,1154,1178,1209,1271,1320,1346,1427,1448,1513,1538,1576,1635,1694,1745,1771,1798,1875,1927,1979,2057,2081,2161,2231,2295,2385,2459,2514,2556
admin_1,co,co-met,,,,,,,,,,1,,,,,2,3,,,,4,,7,,,,,,,8,,10,11,,,,,,,15,,,23,24,,26,,,,,31,,36,40,48,50,51,52,,58,63,68,75,79,84,87,94,97,100,105,107,108,109,,111,112,118,122,127,575,577,857,881,882,884,885,,889,896,930,931,934,936,,942,944,946,947,952,954,,957,961,962,967,974,976,983,986,,1010,1015,1018,1037,1040,1071,1082,1092,1103,1120,1132,1136,1152,1161,1187,1207,1241,1280,1335,1365,1390,1405,1435,1448,1483,1526,1556,1616,1678,1727,1770,1813,1864,1903,1961,1996,2065,2103,2154,2278,2342,2385,2464,2532,2682,2807,2966,3175,3257,3426,3733,4009,4181,4391,4540,4728
admin_1,co,co-nar,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,3,,,,,,6,10,14,16,,,18,,,,,,22,29,,,30,31,32,34,36,38,40,60,62,72,73,79,80,,82,83,,,85,118,123,131,137,145,148,157,163,172,180,283,301,346,376,401,426,447,496,594,610,650,696,769,814,822,848,870,914,963,1025,1092,1246,1290,1362,1546,1658,1748,1776,1901,2003,2090,2151,2227,2269,2288,2330,2413,2478,2503,2546,2628,2734,2768,2810,2870,2931,3015,3079,3145,3195,3273,3351,3379,3434,3508,3585,3672,3810,3989,4121,4262,4478,4596,4749,4922,5085,5216,5402,5544,5705,5843,6043,6252,6325,6475,6787,7053,7301,7619,7841,8164,8480,8836,9153,9454,9764,9956
admin_1,co,co-nsa,,,,,,,,,,,,1,,,,3,6,,,,,,,,,8,9,11,,12,,13,,15,16,23,24,,29,34,37,38,42,,43,,,,,44,47,,49,53,55,59,63,64,66,67,68,69,75,,,79,84,85,,,,87,90,91,92,94,95,97,101,102,104,105,106,108,,111,,,113,,114,115,,,118,,119,124,131,132,134,137,152,153,159,164,175,179,186,189,192,198,202,203,216,228,230,243,249,256,262,270,276,278,285,290,296,303,313,318,325,349,365,388,404,433,480,521,565,601,673,745,842,938,1052,1141,1279,1360,1546,1719,2019,2180,2362,2536,2778,3048,3326,3539,3818,4080,4363,4733,5103,5416,5676
admin_1,co,co-put,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,3,,4,,5,,,,6,8,,,,,9,,,,,10,,,,,,,,11,,,,12,,,,13,,,14,,15,,17,,,18,19,21,,,24,26,27,29,31,41,50,69,95,104,141,183,210,226,272,298,378,401,446,524,553,573,601,664,722,789,863,923,1041,1168,1224,1320,1395,1495,1575,1678
admin_1,co,co-qui,,,,,,,,,,,,,,,,2,3,,6,,,12,13,,,,17,,28,33,34,,35,,36,,37,38,40,,42,43,45,,,,47,50,,51,,52,54,55,,56,57,58,60,,61,62,64,,65,,66,67,70,71,73,,74,75,76,79,83,84,85,87,91,94,97,100,101,102,,,103,105,,,,,106,,107,109,,,113,,115,119,124,,129,131,132,,,,,135,139,142,144,145,146,149,151,152,154,156,161,169,172,175,177,180,,181,182,,190,191,199,202,206,212,213,216,,222,225,228,231,237,245,254,257,264,273,283,302,317,338,360,382,413,449,467,482,517,541
admin_1,co,co-ris,,,,,,,,,,,1,,2,,3,4,,6,,8,9,10,,,13,17,18,19,20,22,24,25,27,,,28,30,35,37,38,,39,46,60,63,70,76,80,83,88,101,111,129,135,140,144,147,150,159,163,167,172,176,,,180,185,188,199,200,201,203,,,,213,215,,223,,224,225,227,228,229,,231,,,233,234,236,237,,239,244,246,249,250,252,,255,260,266,276,284,285,286,308,324,343,357,360,366,376,389,396,409,427,431,436,444,458,472,498,513,524,534,552,562,569,586,606,617,629,656,664,687,710,734,761,784,841,863,901,942,967,1005,1047,1090,1145,1169,1203,1317,1412,1498,1643,1745,1910,2112,2215,2341,2451,2656,2783
admin_1,co,co-san,,,,,,,,,,,,,,1,,,,2,3,,,,,4,,5,9,13,17,20,22,,,23,,,,,,25,26,27,28,,30,31,,,33,,,,,,34,36,,,,,,37,,,,38,,,,,39,,,40,41,42,,43,44,46,48,49,,50,51,52,55,56,62,70,74,76,,78,101,112,121,125,130,136,140,155,164,174,198,207,211,223,237,252,264,278,286,295,335,363,392,422,452,493,501,519,571,595,638,673,703,724,738,770,799,841,887,920,954,1081,1146,1192,1245,1306,1365,1425,1550,1705,1788,1852,1935,2054,2208,2437,2566,2694,2833,3117,3428,3756,4194,4504,5024,5666,6117,6627,7043,7487,7857
admin_1,co,co-suc,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,4,,,,,,,5,,,,,6,7,8,,,9,13,19,26,40,42,45,53,55,61,63,82,88,92,97,106,123,145,151,164,181,207,227,239,265,292,317,354,393,428,484,517,557,587,675,754,832,950,1070,1186,1353,1443,1487,1539,1707,1747,2009,2146,2303,2480,2725,2905,2998,3164,3353,3404,3706,3861,4050,4205,4349,4508,4703,4786,4907,5071,5258,5479,5748,5968,6143,6361,6646,6850,7217,7508,7705,8001
admin_1,co,co-tol,,,,,,,,,,,,,1,,2,,,3,4,,7,9,,,,,10,,,,12,,14,16,17,18,19,,,,,,20,,25,26,27,,,,,28,31,45,,52,,54,70,73,,74,79,84,86,96,99,106,109,110,113,120,121,122,130,138,142,144,147,158,183,185,191,193,195,200,201,,205,209,210,224,,229,230,234,241,251,258,266,273,281,293,299,326,329,338,345,358,360,365,381,388,395,413,426,445,493,539,551,564,581,613,632,698,731,908,923,939,1107,1119,1159,1209,1240,1252,1285,1325,1362,1477,1511,1604,1641,1662,1712,1749,1796,1851,1895,1942,1974,1997,2024,2081,2182,2259,2370,2484,2715,2822,3128,3237,3359,3429,3503,3784
admin_1,co,co-vac,,,,,,1,,2,3,4,,,7,,13,14,15,20,22,24,25,27,30,32,33,34,43,50,51,60,68,81,84,92,97,102,116,131,154,161,173,184,203,221,228,249,262,271,287,305,317,330,366,393,403,433,471,492,518,545,589,613,624,665,683,699,712,733,754,775,806,834,875,909,933,966,998,1025,1167,1190,1275,1324,1379,1434,1493,1588,1693,1749,1834,1889,1968,2023,2072,2095,2139,2237,2314,2467,2595,2715,2815,2925,3042,3204,3357,3481,3731,3837,4046,4163,4298,4416,4521,4650,4835,4995,5212,5463,5658,5864,6013,6220,6489,6689,6976,7244,7496,7805,8031,8283,8434,8846,9316,9717,9997,10506,10969,11479,11948,12441,12910,13285,13708,14217,14896,15432,15873,16358,16964,17612,17994,18399,19019,19774,21984,22973,24186,24707,25587,26286,26928,27767,28370,29211,29968
admin_1,co,co-vau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,11,,,,,,,,,,,,,,13,15,,,,,,,16,,,17,,21,,25,26,,,,,27,,,,,,,,,29,,,,,30,31,43,50,51,,,,,53,,59,,,,,,,,60,,,,,,61,62,,67,81,88,92,98,99
